Day,File_Id,opp_evt,flow_rate
2011_281,1,0.053255797687919,1864.12175884
2011_281,2,0.0560588607660617,2081.52122902988
2011_281,3,0.057589942213293,2079.48463844
2011_281,4,0.0584912000672071,2079.48463844
2011_281,5,0.0567616437740765,2077.44595738372
2011_281,6,0.0544535515958125,2077.44595738372
2011_281,7,0.0563207418519024,2079.48463844
2011_281,8,0.0585493805475538,2079.48463844
2011_281,9,0.0591054501670346,2079.48463844
2011_281,10,0.0586381956746603,2081.52122902988
2011_281,12,0.0553582893305905,2081.52122902988
2011_281,13,0.0553835890593729,2077.44595738372
2011_281,14,0.0562521957679107,2077.44595738372
2011_281,15,0.0561482161665811,2079.48463844
2011_281,16,0.0564180632291762,2079.48463844
2011_281,17,0.054727307039064,2077.44595738372
2011_281,18,0.0545253180858188,2077.44595738372
2011_281,19,0.0555214908325819,2075.40517897856
2011_281,20,0.0547679138414301,2077.44595738372
2011_281,21,0.0563770343801088,2071.31730259168
2011_281,22,0.0568896722234462,2052.81622310644
2011_281,23,0.0515174036913167,2040.38438258908
2011_281,24,0.0543689801787507,2038.304675
2011_281,25,0.0551760572032337,2038.304675
2011_281,26,0.0533769665343667,2036.22273929492
2011_281,27,0.0542062492846515,2032.05215600684
2011_281,28,0.0572212810107298,2029.96349465888
2011_281,29,0.0551895515487748,2029.96349465888
2011_281,30,0.0543973304874566,2027.872577665
2011_281,31,0.0593333647932298,2029.96349465888
2011_281,32,0.0576747638117916,2029.96349465888
2011_281,33,0.0584428953792759,2029.96349465888
2011_281,34,0.0571973160186577,2032.05215600684
2011_281,35,0.0570499075785582,2029.96349465888
2011_281,36,0.0581642657817332,2032.05215600684
2011_281,37,0.0576845603786887,2027.872577665
2011_281,38,0.0569852426423231,2029.96349465888
2011_281,39,0.0488759150861213,2029.96349465888
2011_281,40,0.0497548943079277,2032.05215600684
2011_281,41,0.0530212958085635,2036.22273929492
2011_281,42,0.0535565264346375,2029.96349465888
2011_281,43,0.0553428220504299,2029.96349465888
2011_281,44,0.0543767688777988,2027.872577665
2011_281,46,0.0543434165270306,2023.68394920956
2011_281,47,0.0520053376825562,2029.96349465888
2011_281,48,0.0508244152403528,2029.96349465888
2011_281,49,0.0513999099336926,2036.22273929492
2011_281,50,0.0496984978051855,2038.304675
2011_281,51,0.0486393396841158,2032.05215600684
2011_281,52,0.0470753205128205,2034.13856859136
2011_281,53,0.0492266209987429,2034.13856859136
2011_281,54,0.0472363814464781,2034.13856859136
2011_281,55,0.046351712721253,2027.872577665
2011_281,56,0.0463793441629072,2027.872577665
2011_281,57,0.0449362968473914,2029.96349465888
2011_281,58,0.0441559428995039,2032.05215600684
2011_281,59,0.0436372854349243,2025.77939814272
2011_281,60,0.0423074547588166,2019.48621558068
2011_281,61,0.0364677804295943,2040.38438258908
2011_282,1,0.0347721244272968,2059.00262128
2011_282,2,0.0405924389492959,2056.94265702332
2011_282,3,0.0410562316074127,2054.88052659296
2011_282,4,0.0425650943848601,2056.94265702332
2011_282,5,0.0454632070378251,2054.88052659296
2011_282,6,0.0470162748643761,2054.88052659296
2011_282,7,0.0451340153885178,2052.81622310644
2011_282,8,0.0471619213846769,2050.74973968128
2011_282,9,0.0470578835936564,2050.74973968128
2011_282,10,0.0466124088362752,2052.81622310644
2011_282,11,0.0471684101084258,2050.74973968128
2011_282,12,0.0474194627131869,2056.94265702332
2011_282,13,0.0428767091487337,2048.681069435
2011_282,14,0.042626297836317,2034.13856859136
2011_282,15,0.0426892826684355,2036.22273929492
2011_282,16,0.0426720112079701,2029.96349465888
2011_282,17,0.0421182450108379,2019.48621558068
2011_282,18,0.0392964152529586,2023.68394920956
2011_282,19,0.0421335226642409,2023.68394920956
2011_282,20,0.0434278580345996,2025.77939814272
2011_282,21,0.0435366955295569,2017.38391712
2011_282,22,0.0457661484986,2019.48621558068
2011_282,23,0.0515883843305399,2006.837833055
2011_282,24,0.0522404663373826,2034.13856859136
2011_282,25,0.0528019259061121,2032.05215600684
2011_282,26,0.0516747133373567,2034.13856859136
2011_282,27,0.0508140952951497,2036.22273929492
2011_282,28,0.0517551020408163,2034.13856859136
2011_282,29,0.0539715443324225,2034.13856859136
2011_282,30,0.0519159456118665,2048.681069435
2011_282,31,0.0545868390033736,2056.94265702332
2011_282,32,0.0545069117404384,2044.53714094916
2011_282,33,0.054441093775039,2050.74973968128
2011_282,34,0.0537615804457587,2048.681069435
2011_282,35,0.0549217077087794,2044.53714094916
2011_282,36,0.0572917394280605,2038.304675
2011_282,39,0.0669090327993288,2032.05215600684
2011_282,40,0.0660557815514923,2029.96349465888
2011_282,41,0.0626871175339555,2027.872577665
2011_282,42,0.0639881567738787,2025.77939814272
2011_282,43,0.0632331763830235,2021.58622398304
2011_282,44,0.0648673749609691,2019.48621558068
2011_282,45,0.0656375151345814,2023.68394920956
2011_282,46,0.0664758502554793,2019.48621558068
2011_282,47,0.0667212732754786,2023.68394920956
2011_282,48,0.0675634231754024,2027.872577665
2011_282,49,0.0666466127542883,2023.68394920956
2011_282,50,0.0676430883569697,2025.77939814272
2011_282,51,0.0647244319678485,2021.58622398304
2011_282,52,0.0638203598499834,2017.38391712
